,一等奖_奖金(元),一等奖_注数,二等奖_奖金(元),二等奖_注数,奖池奖金(元),开奖日期,快乐星期天,总投注额(元),期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球
0,"10,000,000",2,"256,483",100,"903,210,136",2018-04-24,,"341,414,200",18046,10,13,14,18,20,31,03
1,"6,904,812",3,"87,110",82,"846,265,053",2018-04-22,,"381,384,846",18045,03,04,06,25,26,30,01
2,"5,550,276",22,"23,534",643,"845,550,354",2018-04-19,,"351,490,126",18044,05,09,12,17,27,30,06
3,"7,386,066",6,"192,424",93,"922,258,638",2018-04-17,,"350,595,736",18043,01,04,06,08,21,24,07
4,"6,113,405",14,"119,537",163,"912,888,550",2018-04-15,,"373,384,922",18042,06,10,21,28,29,31,12
5,"9,960,334",4,"387,526",64,"940,022,436",2018-04-12,,"342,614,774",18041,07,08,20,23,24,32,13
6,"6,625,737",11,"78,989",283,"905,458,752",2018-04-10,,"341,719,534",18040,01,03,08,13,18,23,16
7,"8,202,095",6,"142,950",168,"911,280,204",2018-04-08,,"368,394,896",18039,08,12,18,19,23,32,03
8,"7,607,731",5,"217,310",75,"888,445,635",2018-04-05,,"303,245,456",18038,15,23,24,25,28,29,09
9,"6,218,823",12,"133,447",137,"877,589,328",2018-04-03,,"336,334,062",18037,01,06,07,08,27,30,10
10,"10,000,000",4,"231,790",117,"897,368,156",2018-04-01,,"375,931,002",18036,08,17,24,26,28,33,04
11,"8,809,507",6,"98,862",289,"856,009,608",2018-03-29,,"350,309,396",18035,07,10,11,17,23,28,15
12,"7,560,160",8,"209,849",122,"823,152,736",2018-03-27,,"348,544,506",18034,01,05,11,22,23,26,15
13,"10,000,000",3,"289,516",88,"806,829,198",2018-03-25,,"376,360,408",18033,04,19,20,22,28,33,06
14,"10,000,000",3,"179,511",127,"760,396,749",2018-03-22,,"351,194,914",18032,21,22,23,24,25,32,06
15,"10,000,000",3,"224,837",116,"722,002,755",2018-03-20,,"345,048,756",18031,02,16,18,19,27,30,14
16,"10,000,000",1,"260,810",98,"673,759,355",2018-03-18,,"388,492,136",18030,13,14,20,21,25,33,07
17,"8,926,329",5,"288,700",85,"607,081,200",2018-03-15,,"349,939,456",18029,01,02,09,14,22,25,05
18,"7,676,997",7,"106,471",220,"578,094,167",2018-03-13,,"352,015,830",18028,03,08,11,14,18,23,16
19,"8,250,400",6,"169,291",144,"561,561,972",2018-03-11,,"386,579,026",18027,02,07,09,14,18,28,05
