,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,快乐星期天,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
0,21055,03,11,12,16,22,28,10,,"425,721,551",29,"5,553,793",206,"97,451","376,647,950",2021-05-20
1,21054,07,13,21,22,24,31,02,,"526,556,537",4,"10,000,000",83,"374,991","371,689,954",2021-05-18
2,21053,07,10,14,16,24,33,16,,"473,183,576",3,"10,000,000",84,"355,480","398,009,388",2021-05-16
3,21052,03,04,06,19,21,30,14,,"413,602,410",1,"10,000,000",171,"171,643","376,039,676",2021-05-13
4,21051,08,09,10,19,27,29,15,,"335,549,357",10,"6,796,944",309,"72,691","377,624,458",2021-05-11
5,21050,02,09,10,16,25,28,08,,"336,133,387",22,"5,598,001",248,"66,310","403,433,980",2021-05-09
6,21049,04,11,13,22,25,32,01,,"409,954,275",4,"10,000,000",78,"440,233","375,111,072",2021-05-06
7,21048,04,15,17,22,29,32,03,,"346,939,552",2,"10,000,000",64,"394,580","339,198,590",2021-05-04
8,21047,03,07,13,16,24,29,01,,"291,180,168",5,"9,419,460",231,"119,574","367,123,752",2021-05-02
9,21046,05,09,13,21,28,33,06,,"255,412,592",24,"5,735,971",122,"180,976","377,425,810",2021-04-29
10,21045,01,04,14,15,17,32,02,,"326,838,472",6,"8,717,208",86,"324,175","377,279,966",2021-04-27
11,21044,05,07,14,17,26,28,13,,"295,504,539",5,"10,000,000",160,"213,373","418,973,684",2021-04-25
12,21043,02,03,17,18,23,24,01,,"243,085,282",3,"10,000,000",93,"331,233","389,948,810",2021-04-22
13,21042,05,09,10,22,25,27,08,,"180,671,046",26,"5,498,446",275,"58,907","382,918,124",2021-04-20
14,21041,02,09,18,23,26,32,14,,"275,032,108",54,"5,307,817",367,"56,614","415,676,146",2021-04-18
15,21040,02,06,07,24,28,29,16,,"499,321,280",6,"8,652,104",238,"115,087","385,858,982",2021-04-15
