,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,22135,09,11,13,24,28,32,06
1,22134,01,05,14,17,24,31,14
2,22133,05,08,16,17,21,25,12
3,22132,01,03,18,26,32,33,04
4,22131,03,05,10,13,19,29,06
5,22130,02,08,15,17,26,28,12
6,22129,10,12,14,22,24,27,07
7,22128,03,12,18,24,27,29,01
8,22127,03,04,09,10,29,33,13
9,22126,01,13,15,17,26,33,13
10,22125,02,03,07,12,20,31,16
11,22124,05,10,13,18,24,26,01
12,22123,10,13,16,20,21,25,05
13,22122,06,08,17,19,24,28,05
14,22121,12,17,22,27,30,31,02
15,22120,02,15,19,26,27,29,02
16,22119,02,05,15,18,26,27,04
17,22118,02,06,07,11,14,33,08
18,22117,04,13,17,18,28,29,06
19,22116,08,14,26,27,30,33,01
20,22115,06,07,18,20,27,29,09
21,22114,01,05,15,19,26,29,13
22,22113,13,14,20,24,27,29,02
23,22112,03,05,08,17,25,31,01
24,22111,02,10,11,13,28,31,01
25,22110,09,13,15,18,20,28,15
26,22109,04,11,13,19,22,33,11
27,22108,01,07,13,17,18,31,15
28,22107,03,09,11,15,19,28,16
29,22106,17,20,22,23,24,31,01
30,22105,06,12,13,15,21,23,15
31,22104,01,08,19,25,26,31,01
32,22103,06,09,12,14,20,28,10
33,22102,09,10,12,18,29,32,14
34,22101,04,16,18,19,27,28,04
35,22100,02,06,07,15,20,21,15
36,22099,01,11,23,24,26,32,15
37,22098,02,03,04,06,21,33,05
38,22097,04,05,10,13,30,31,14
39,22096,03,16,17,19,25,33,07
40,22095,04,13,14,18,20,28,08
41,22094,06,11,13,16,19,31,02
42,22093,21,22,24,28,29,32,14
43,22092,07,10,16,20,21,27,11
44,22091,08,18,20,22,24,28,10
45,22090,01,04,25,27,29,30,07
46,22089,02,07,15,29,31,33,15
47,22088,03,09,15,17,20,22,06
48,22087,05,06,09,13,23,25,08
49,22086,01,04,08,21,23,24,11
50,22085,07,09,14,31,32,33,13
51,22084,03,18,23,24,25,32,09
52,22083,08,12,13,14,19,20,05
53,22082,04,10,11,23,30,32,14
54,22081,04,08,11,21,27,30,01
55,22080,05,12,15,17,18,27,04
56,22079,01,09,15,17,22,23,16
57,22078,01,04,05,15,17,31,09
58,22077,03,17,18,19,20,27,16
59,22076,08,09,10,13,24,29,02
60,22075,01,02,04,25,26,30,10
61,22074,05,07,15,19,29,33,15
62,22073,06,10,14,15,26,29,12
63,22072,05,14,15,16,18,32,12
64,22071,04,07,15,18,29,33,01
65,22070,04,06,09,27,28,33,02
66,22069,06,07,13,19,26,29,08
67,22068,07,12,15,24,26,29,06
68,22067,01,05,13,21,26,29,15
69,22066,06,11,14,20,27,30,09
70,22065,09,14,18,23,28,31,02
71,22064,04,06,12,13,17,31,16
72,22063,06,08,09,17,22,31,11
73,22062,16,18,20,21,23,33,05
74,22061,01,03,16,18,29,33,06
75,22060,16,18,19,24,28,32,01
76,22059,06,09,18,19,29,33,06
77,22058,06,13,14,23,31,33,01
78,22057,12,15,20,26,30,33,16
79,22056,01,06,11,14,17,26,15
80,22055,02,04,09,26,28,33,03
81,22054,08,12,21,27,28,33,11
82,22053,10,14,18,23,27,33,15
83,22052,07,24,27,29,31,32,15
84,22051,02,05,11,17,21,33,01
85,22050,03,05,08,14,27,33,08
86,22049,02,04,07,18,25,26,10
87,22048,05,07,17,20,26,31,14
88,22047,03,07,08,14,27,30,09
89,22046,02,11,24,25,27,30,14
90,22045,03,12,17,18,19,28,04
91,22044,01,07,08,21,23,29,06
92,22043,02,17,20,23,25,27,08
93,22042,05,10,11,21,22,30,13
94,22041,05,07,21,22,24,29,14
95,22040,03,12,14,16,31,33,12
96,22039,02,06,07,10,15,20,05
97,22038,09,12,13,16,24,32,04
98,22037,01,10,13,20,22,32,14
99,22036,02,03,14,16,26,31,02
100,22035,08,12,13,19,23,25,15
101,22034,14,17,26,31,32,33,10
102,22033,05,12,19,22,25,26,05
103,22032,04,10,11,14,23,32,07
104,22031,01,10,11,22,26,32,07
105,22030,12,23,24,26,27,30,05
106,22029,03,08,10,13,26,32,08
107,22028,05,11,20,22,23,29,09
108,22027,14,15,18,19,26,32,09
109,22026,03,04,10,15,22,24,02
110,22025,06,19,24,25,28,32,04
111,22024,07,09,10,14,19,24,15
112,22023,07,12,17,19,24,25,02
113,22022,01,07,11,15,17,19,06
114,22021,03,07,22,24,26,31,14
115,22020,09,11,14,22,30,32,01
116,22019,05,06,14,20,21,25,08
117,22018,07,11,16,17,30,32,16
118,22017,06,09,24,29,30,32,07
119,22016,05,10,19,20,29,31,14
120,22015,06,14,16,27,28,31,07
121,22014,06,07,13,14,15,27,04
122,22013,02,03,04,07,10,18,15
123,22012,04,07,08,29,30,31,01
124,22011,06,15,23,24,25,33,15
125,22010,12,18,19,20,21,32,15
126,22009,04,15,17,19,25,28,16
127,22008,02,03,07,09,20,21,13
128,22007,01,20,22,23,25,28,16
129,22006,03,06,09,15,22,31,02
130,22005,07,10,12,16,19,31,16
131,22004,05,19,24,28,30,32,14
132,22003,02,05,16,17,18,30,06
133,22002,02,12,21,23,25,31,08
134,22001,06,13,15,17,20,21,03
135,21150,09,14,20,21,24,26,04
136,21149,05,10,15,18,19,32,05
137,21148,10,12,15,17,19,20,08
138,21147,05,10,11,13,27,28,09
139,21146,07,09,21,22,26,32,03
140,21145,04,07,10,14,16,26,09
141,21144,02,05,13,15,23,26,07
142,21143,01,09,11,13,20,29,09
143,21142,04,07,17,19,20,24,16
144,21141,01,14,19,23,26,30,10
145,21140,05,10,16,26,27,33,01
146,21139,12,14,19,23,24,27,01
147,21138,11,14,15,16,27,32,09
148,21137,03,07,10,14,21,24,01
149,21136,02,06,09,15,19,28,16
150,21135,03,10,17,19,21,31,04
151,21134,01,02,16,19,25,31,08
152,21133,01,03,12,19,27,31,10
153,21132,01,04,06,14,20,28,08
154,21131,08,11,18,19,20,24,01
155,21130,08,09,15,24,26,30,06
156,21129,04,15,21,27,28,29,10
157,21128,05,17,20,21,23,33,04
158,21127,07,15,16,20,27,29,07
159,21126,19,20,23,27,28,31,01
160,21125,14,19,20,23,24,31,09
161,21124,01,03,18,22,29,32,02
162,21123,06,14,15,19,29,31,05
163,21122,04,05,12,15,18,28,07
164,21121,04,05,12,16,22,30,15
165,21120,01,07,08,12,13,18,05
166,21119,03,09,10,11,28,29,13
167,21118,02,06,14,18,20,31,13
168,21117,03,05,17,21,27,33,04
169,21116,06,14,17,18,31,33,06
170,21115,02,10,12,15,24,27,08
171,21114,04,06,08,14,24,27,02
172,21113,04,07,10,22,27,30,02
173,21112,05,06,21,25,28,33,07
174,21111,17,20,22,23,26,28,06
175,21110,10,13,15,24,31,32,02
176,21109,02,03,10,17,20,26,16
177,21108,11,15,18,24,26,32,09
178,21107,02,03,17,19,25,30,01
179,21106,01,04,07,14,30,31,03
180,21105,10,14,15,22,27,32,09
181,21104,01,07,17,20,22,28,15
182,21103,10,13,15,25,29,30,15
183,21102,05,09,15,24,27,30,09
184,21101,02,04,12,22,29,31,01
185,21100,07,09,12,13,14,29,16
186,21099,09,11,17,18,20,27,15
187,21098,01,10,13,18,26,32,05
188,21097,03,11,12,13,25,28,12
189,21096,01,07,11,14,15,26,11
190,21095,08,12,17,24,27,28,13
191,21094,09,11,24,25,28,33,15
192,21093,05,11,15,23,28,33,03
193,21092,02,07,08,10,12,31,03
194,21091,04,06,16,24,26,33,16
195,21090,05,06,12,14,27,28,08
196,21089,01,02,07,13,23,24,12
197,21088,04,12,15,16,19,26,06
198,21087,02,13,16,19,23,24,04
199,21086,06,08,10,14,28,29,01
200,21085,05,06,07,11,14,20,02
201,21084,05,07,09,11,21,28,01
202,21083,04,09,11,25,28,33,04
203,21082,03,06,11,13,26,32,05
204,21081,01,03,05,18,22,23,01
205,21080,05,08,22,23,24,29,09
206,21079,01,03,10,24,28,29,13
207,21078,04,06,15,26,27,31,12
208,21077,08,15,17,25,27,30,10
209,21076,03,09,21,23,30,32,06
210,21075,12,15,16,21,22,29,01
211,21074,04,05,09,14,25,27,07
212,21073,01,06,18,22,24,25,08
213,21072,01,09,15,16,19,21,15
214,21071,01,07,24,31,32,33,08
215,21070,01,05,11,15,16,29,15
216,21069,06,11,18,20,23,26,05
217,21068,04,14,18,24,31,32,15
218,21067,01,11,19,23,25,29,09
219,21066,02,06,19,26,30,33,15
220,21065,01,04,08,19,29,33,16
221,21064,04,06,08,15,16,18,16
222,21063,04,05,06,09,23,24,09
223,21062,12,13,15,20,22,25,10
224,21061,04,09,12,18,20,23,01
225,21060,10,11,17,20,29,30,15
226,21059,01,09,11,18,32,33,14
227,21058,09,11,13,18,19,28,14
228,21057,05,06,09,17,25,33,16
229,21056,08,21,22,23,29,32,01
230,21055,03,11,12,16,22,28,10
231,21054,07,13,21,22,24,31,02
232,21053,07,10,14,16,24,33,16
233,21052,03,04,06,19,21,30,14
234,21051,08,09,10,19,27,29,15
235,21050,02,09,10,16,25,28,08
236,21049,04,11,13,22,25,32,01
237,21048,04,15,17,22,29,32,03
238,21047,03,07,13,16,24,29,01
239,21046,05,09,13,21,28,33,06
240,21045,01,04,14,15,17,32,02
241,21044,05,07,14,17,26,28,13
242,21043,02,03,17,18,23,24,01
243,21042,05,09,10,22,25,27,08
244,21041,02,09,18,23,26,32,14
245,21040,02,06,07,24,28,29,16
246,21039,02,08,21,24,29,31,13
247,21038,05,07,09,16,18,27,06
248,21037,13,17,19,24,26,30,12
249,21036,01,02,06,11,21,26,11
250,21035,12,14,18,20,26,28,11
